collection_ID	collection_start_date	sex	collection_comment	developmental_stage	collection_end_date	GPS_qualifier	trap_duration	f2	species_identification_method	attractant	duration.check	trap_number	species	GPS_latitude	sample_count	trap_type	GPS_longitude	NotEmpty	repeateInstance	sample_ID
soroti_collection_00034	2015-09-05	male	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-09-08	IA	1		MORPHO	none	3	3	Mansonia genus sp.	1.717417	60	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00054
soroti_collection_00034	2015-09-05	male	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-09-08	IA	1		MORPHO	none	3	3	Anopheles funestus sensu lato	1.717417	1	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00055
soroti_collection_00034	2015-09-05	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-09-08	IA	1		MORPHO	none	3	3	Mansonia genus sp.	1.717417	223	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00056
soroti_collection_00034	2015-09-05	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-09-08	IA	1		MORPHO	none	3	3	Culex sp.	1.717417	6	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00057
soroti_collection_00089	2015-09-05	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-09-08	IA	1		MORPHO	none	3	3	Anopheles gambiae sensu lato	1.717417	2	HLC-OUT	33.736604	notEmpty	FALSE	soroti_sample_00058
soroti_collection_00089	2015-09-05	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-09-08	IA	1		MORPHO	none	3	3	Anopheles funestus sensu lato	1.717417	4	HLC-OUT	33.736604	notEmpty	TRUE	soroti_sample_00059
soroti_collection_00089	2015-09-05	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-09-08	IA	1		MORPHO	none	3	3	Culex sp.	1.717417	2	HLC-OUT	33.736604	notEmpty	TRUE	soroti_sample_00060
soroti_collection_00089	2015-09-05	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-09-08	IA	1		MORPHO	none	3	3	Mansonia genus sp.	1.717417	76	HLC-OUT	33.736604	notEmpty	TRUE	soroti_sample_00061
soroti_collection_00089	2015-09-05	male	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-09-08	IA	1		MORPHO	none	3	3	Mansonia genus sp.	1.717417	6	HLC-OUT	33.736604	notEmpty	TRUE	soroti_sample_00062
soroti_collection_00124	2015-09-07	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-09-10	IA	1		MORPHO	none	3	3	Mansonia genus sp.	1.717417	58	INDOOR CDC LIGHT TRAP	33.736604	notEmpty	FALSE	soroti_sample_00063
soroti_collection_00124	2015-09-07	male	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-09-10	IA	1		MORPHO	none	3	3	Culex sp.	1.717417	4	INDOOR CDC LIGHT TRAP	33.736604	notEmpty	TRUE	soroti_sample_00064
